Restaurant Name,Restaurant Type,Reviewer's Name,Rating,Comment
Positano @ RP,"Italian, European",sulastri2017,5,"Had the squid ink seafood spaghetti! Its deliciously nice and spicy. The prawn, squid and scallop is so fresh. Thank you!More"
Positano @ RP,"Italian, European",Mardhiyah M,5,Amazing service everytime we come for a visit! Food is consistent as always too! :) would highly recommend to everyoneMore
Positano @ RP,"Italian, European",seahfei,5,"was lucky to get a last minute reservation here for christmas lunch, we tried the squid ink pasta and pesto chicken pizza & they were really really tasty! good value for money as well. merry xmas :•)More"
Positano @ RP,"Italian, European",castform22,5,"Food and service are great. Had the saffron risotto, calzone and Godfather milkshake - they didn't disappoint!More"
Positano @ RP,"Italian, European",zaireelmarting,5,"Amazing food.. amazing people.. kudos for their great hospitality especially naufal, ain and the boss Mr Isyak.. would love to dine in there again..very soon.. thank u for having us at your beautiful resto!!!More"
Positano @ RP,"Italian, European",iancM8834VC,5,"We stumbled upon this little gem of a restaurant by accident. To be honest, we were a little hesitant at first as the facade of the restaurant looked a little underwhelming. But as the saying goes, the proof of the pudding is in the eating More"
Positano @ RP,"Italian, European",Morningview99,5,"Tonight was our first time eating at Positano and there will hopefully be many more as there are so many other dishes on the menu we want to try. The food was excellent, like REALLY delicious! I had the short rib and my girlfriend had More"
Positano @ RP,"Italian, European",cannapsg,2,"This restaurant is shown as one of the best Italian cuisine restaurants in Singapore, but the cuisine is not typically Italian. 
That was a great disappointment, maybe they could redefine their marketing into Middle-East Cuisine to stop fooling consumers. 
Plus, the place is not very More"
Positano @ RP,"Italian, European",Adamjmt,5,"Best dinner I had in months! 
The calamari was great, the striploin steak was excellent. Service was impeccable as well. Keep it up! Will definitely be back."
Positano @ RP,"Italian, European",cecilacchan,4,"Well yes and no. Overall it is good, ambience, service, cosy place, fair price. Would have been 5 stars if the lobster we ordered is not slightly overcooked. Ah, perfection and consistency, and, balance, the bane of cooks. Balance was great. The lobster bisque sauce More"
Positano @ RP,"Italian, European",BeautyDavidson,5,Went for lunch and was a truly memorable experience. Thanks to Ani and Khai for their great service.
Positano @ RP,"Italian, European",mikey82x,5,"Great ambience, food and service. Nothing to complain about, tbh. The restaurant even provided a complimentary slice of birthday cake (tasted like yummy warm english pudding) for my family member. Two thumbs up!More"
Positano @ RP,"Italian, European",Saiful0404,5,"From the appetisers to dessert, everything was fantastic. We love the quiet ambience. Our food was served by the owner of Positano RP, Mr Ishak. Mr Ishak was attentive in serving the dishes accordingly. It was a pleasant dining experience like no other. The quality More"
Positano @ RP,"Italian, European",Rachel81639,5,"Really good food, great ambience, and great warm staff that are attentive and professional!! Would definitely come again!More"
Positano @ RP,"Italian, European",sumansivalanka,4,"Absolutely Stunning Food, thanks so much for the great atmosphere and the charming environment. Will come backMore"
Positano @ RP,"Italian, European",chtin6046,5,"Took a chance to call up this restaurant on a wet Saturday evening on impromptu and was pleased that there was an available table.

The food was Michelin standard, but very affordable for an eatery within the CBD. I had the truffle mushroom pasta while More"
Positano @ RP,"Italian, European",maisurahhh,5,"Friends brought me here for my birthday. The Customer service & food was so good, would come again :-)More"
Positano @ RP,"Italian, European",calvinangelo92,5,"10/10 would recommend to bring your friends and family here. Excellent location, amazing food and very friendly & approachable staff."
Positano @ RP,"Italian, European",brendanrwee,5,"Amazing food, excellent location, superb staff. 
100% will come back again. Best halal restaurant I have been to!More"
Positano @ RP,"Italian, European",Andy T,5,Probably the best Italian restaurant in Singapore! We ordered the Lobster Seafood Fettuccine. It came with a full lobster and both of us were so full by the time we finished. But we still went for dessert - tiramisu - not to be missed!More
Positano @ RP,"Italian, European",diyanahalid,5,"From start to finish, the service was excellent! The servers were very attentive and asked us if we were happy with our food. The Fettuccine Carbonara was delicious. The server came to us to apologise and explained why they had a delay for 5 minutes More"
Positano @ RP,"Italian, European",Farafrolic,5,"Beautiful experience. Great food, great music, awesome service! Would definitely come back! Love itttMore"
Positano @ RP,"Italian, European",MaNoNe8591,5,"First time here and received exceptional service from Ain. From start to finish, she was friendly and served me kindly. The food-i got Supreme Calzone- was also served freshly baked and the mocktail - Scarlett O'Hara- was the right kind of sweet. Kudos to the More"
Positano @ RP,"Italian, European",AishahOmr,5,I have been to Positano @ Circular Road many times. I would like to highlight that you have an exceptional staff - Ain. She is courteous and patient accomodating to my request despite several changes on the reservation. I was also greeted and served by More
Positano @ RP,"Italian, European",khunrina28,5,"The people there are really friendly and always have smiles on their faces. The food is 💯💯💯 too

I ate at both branches of Positano risto and I'm not disappointed at any branches! 

Will totally come back again to try their other food."
Positano @ RP,"Italian, European",sh-dalila,5,dined in for friend’s bday celebration. really friendly staffs especially ain and qaf! attended to our needs and even gave us complimentary cake for the celebration. service was quick too! would come back :)More
Positano @ RP,"Italian, European",Deborahseet94,5,The food here is really good. Service is wonderful too! I would definitely be back here again. Thank you :)More
Positano @ RP,"Italian, European",Nhhakims,5,"One of the best Lobsters we've had! Fettuccine was so delicate and was so rich in seafood juice! Prawns so juicy too. Had the Lychee and Strawberry mocktail, was lovely too! Defo recommend 10/10More"
Positano @ RP,"Italian, European",Hafizh05,5,"First impression of this restaurant, just totally wows me as you will be greeted with a warmth and super friendly welcome! Ambience is perfect for couples and even families. Staff will ensure that you are comfortable and that your food is of high satisfaction levels ."
Positano @ RP,"Italian, European",Stevenwusg,5,Nice food and very good service. Love the seafood risotto which is very well done. Good pizza too so don't miss itMore
Positano @ RP,"Italian, European",Nashtanwl,5,"Celebrated a birthday over dinner here. 

Food came in generous portions and service was warm and attentive :)More"
Positano @ RP,"Italian, European",Dongforgetaboutme,5,"Very nice foods and friendly staff. Will come back for sure.  Must try the squid ink, supreme calzone and lava stack!More"
Positano @ RP,"Italian, European",Nurkhud,5,"Food was huge and excellent taste!! love love the concept very chilly cosy. Will definitely recommend to my friends and family and ofcos i will definitely come again! ❤️❤️❤️
Thanks Ain for the excellent service 👍👍👍More"
Positano @ RP,"Italian, European",achila17,5,I’m not a big fan of pastas yet this place amazed me! Had the pesto chicken pasta as a main course and a grilled calamari as a starter. Would rate all 10/10! Got a free cake/muffin dessert as a complimentary gift for birthday :) Excellent More
Positano @ RP,"Italian, European",Ayeenaidah,5,HIGHLY RECOMMENDED!! SUPERB FOOD AND SERVICE!! The food is cooked to perfection and also there was a suprise cakeMore
Positano @ RP,"Italian, European",Jiggydiggity,5,"Amazing food, even more amazing service! I would have given them 6 stars if I could. The restaurant isn't that big, so you definitely have to make reservations beforehand, but that also means that you have their undivided attention~More"
Positano @ RP,"Italian, European",SabrinaH2394,5,3rd time dining here and as usual service and food is amazing. Atmosphere is really good too. Overall highly recommendedMore
Positano @ RP,"Italian, European",fndisdin,4,"Had a pleasant dinner. We were ushered in to our seats soon after Tim was so pleasant to talk to us and gave a brief introduction to positano.  All in all, nothing too pretentious.  Food and service was good. But the song choice needs to More"
Positano @ RP,"Italian, European",FIdris78,4,"We got the arancini which was good. Decent portion. Had the eggplant parmigiano but it was a little runny. Nevertheless, still decent. Make reservations on Fridays."
Positano @ RP,"Italian, European",Lindaxoxoxoxo,5,"We were here for a welcome lunch with our new team members. Love at first sight! Always great tasty food served piping hot. Every single bite of food was simply perfect. The pizza, the meatball, the Tiramisu which has a dreamy-melt in your mouth feeling ."
Positano @ RP,"Italian, European",PrincessAryn161,5,"Excellent and Great menu, Great Service! Love the ambience and the coziness and will definitely come back!!! 
Thank you Ain 🥰🥰🥰 and Tim!!!More"
Positano @ RP,"Italian, European",AshySalleh,5,Staff was polite and approachable. Food quality was great. Service was excellent and prompt! Definitely will return here with family/friends!More
Positano @ RP,"Italian, European",Quest797876,5,"Always exceed expectations since our first visit in terms of food quality, service provided and staff professionalism."
Positano @ RP,"Italian, European",Midfi17,5,Managed to get a table even though it was Pretty much a last minute booking. We came early but were given a seat outside as our table wasn’t ready yet. Thoughtful gesture. We looked through the menu and were tempted to try most of the More
Positano @ RP,"Italian, European",naznazz,5,"We called in for a last minute reservation and they kindly accommodated us which we appreciate tremendously.

Excellent service by the staff and the food is spot on delicious and authentic.

Highly recommended for dinner dates or family gathering!More"
Positano @ RP,"Italian, European",Doubleyouuem,5,Food here was great but the outstanding factor for us was definitely the service here. Will visit again!More
Positano @ RP,"Italian, European",Shmrhlee,5,Very satisfied with the splendid service by staff (Ain) & she’s very friendly!! The foods are delicious & waiting time for food just nice!!More
Positano @ RP,"Italian, European",Deedeedeedeeedeeeeee,5,The food was very good. Service was super fast. Cozy ambience and friendly staff especially Ain who was very quick on her feet to check if all is okay for us. Overall 10/10More
Positano @ RP,"Italian, European",kokigil,5,"Good risotto dish, clean and nice ambiance.. overall it’s good place to eat w friends.. keep it up 👍🏼🙌🏼💪🏼More"
Positano @ RP,"Italian, European",Hadee08,5,"An extremely cozy and  comfortable setting. Had my anniversary lunch here with the wife, definitely enjoyed it. Highly recommended."
Positano @ RP,"Italian, European",Inabass,5,"Today’s our anniversary and we chose Positano for our annual dinner. The ambience is great and chilled. The music was perfect, humming to the wonderful tunes while dining with my husband. Definitely returning here with my family next! 10 stars for me!More"
Positano @ RP,"Italian, European",Nafo761,5,"Impeccable service, clean location, amazing food and beverages and great music! I would definitely come again!More"
Positano @ RP,"Italian, European",Qxk987,5,The staff here are very friendly and food is good. Highly recommended place for dining. It is also a very cozy spaceMore
Positano @ RP,"Italian, European",Dada06069,5,Great ambience and good service as well. Food was delicious. Ordered the squid ink pasta and the sea food was very fresh :)More
Positano @ RP,"Italian, European",frankie97933,5,Had wagyu beef burger with lychee mock tail. Burger is rich and cheesy! It comes with fries on the side which are nice and crunchyMore
Positano @ RP,"Italian, European",KaungMSan,5,The food and the ambience were great. Definitely recommending beef lasagne and drink called “the godfather”. Amazing service too.
Positano @ RP,"Italian, European",nasrmza,5,"Good italian food, good atmosphere, just a very nice place in general. would definitely come here again for special occasions."
Positano @ RP,"Italian, European",Hafizah1234,5,"The ambience is great. Staffs were friendly, food was served fast and tasted great. Pls come & try.."
Positano @ RP,"Italian, European",izboydan,5,The food is delicious and portion is great. Staff were friendly. Overall a satisfying dinner for a special occasion.
Positano @ RP,"Italian, European",ledja989,5,"Food was delicious.i dont remember tasting gd tasty dishes when i was in italy. Hahah our waitress,ain, recommended us a wide range of choices! Gd one we had truffle mushroom linguine , squid ink pasta and grilled calamari!More"
Positano @ RP,"Italian, European",qataztrophe,5,The food was delicious and reasonably priced. Presentation on point. Our server Ain took the time to recommend the top favourites in the menu and was constantly making sure our experience was smooth. Would definitely return!More
Positano @ RP,"Italian, European",fongs980,5,Excellent italian restauraunt in the CBD area. Food is nothing short of delicious and the service provided is top notch. Great decor and value for money as well.
Positano @ RP,"Italian, European",hafizuladli,5,"Friendly service, great food, warm ambience and cool music. Good portion for price paid as well. Was recommended by a friend and will definitely pass on the recommendation as well after this experience."
Positano @ RP,"Italian, European",alvin_22482,5,Its a nice cozy place.. the food is superb and the service is really good.. shout out to staff Ain..
Positano @ RP,"Italian, European",AAWildan,5,"Wild Mushroom Truffle Linguine a top pick amongst a comprehensive menu. Appropriately priced, halal and generous portions! Large dining table a plus point."
Positano @ RP,"Italian, European",Mokhtar H,5,"We had a lunch today. Highly recommended are Squid Ink Seafood Spaghetti, Grilled Parmesan Stuffed Chicken, Wild Mushroom Truffle Linguine and Grilled Calamari. 

The staff are highly motivated in providing excellent service."
Positano @ RP,"Italian, European",520oliverh,3,Unfortunately this restaurant is highly overrated. There is no way that it deserves the No 1 spot in Singapore. The food is average and there is no alcohol served. But the service and the people are excellent. Nice neighbourhood place but no top restaurant by More
Positano @ RP,"Italian, European",izzahfarhanah,5,"My husband and I had a lovely dinner date at Positano @ RP. Although this outlet is rather small compared to the Bugis outlet, it had a more intimate setting w a calming ambience. The food was great and the staff were polite and attentive More"
Positano @ RP,"Italian, European",liskzmn,5,"The place has a nice ambience, and food was great too! I would also like to commend the lady who served me, Ain, who was very nice and helpful! I will most definitely come here again (-:More"
Positano @ RP,"Italian, European",MuhammadA11739,5,Arancini and squid ink pasta was good. Service was great and personable with staff checking in on us. Would be coming back again soon ☺️More
Positano @ RP,"Italian, European",NurulRahwany_,5,"The food here are amazing.I can’t describe how good it is.It really amazing.

The staff here are so friendly and humble.One of her staff name Ain she’s the one who served us.She is so humble and she did recommended my friend & I which main More"
Positano @ RP,"Italian, European",Fahrain R,5,Always leaving Positano with full tummies and feeling satisfied. Special thanks to Ain for her recommendation!More
Positano @ RP,"Italian, European",hanafeeee,5,"Staff was friendly and welcoming, food was great. The ambiance was great and perfect place to chill with a couple of friends. Definitely will returm."
Positano @ RP,"Italian, European",wkeong70,5,"Went there on the recommendation of a colleague and my entire family was not disappointed! We had 2 pepperoni pizzas, truffle fries, an eggplant parmigiana, a wagyu burger, an Impossible burger, a fettuccine and a slice of burnt cheesecake and tiramisu for dessert! 
Both my More"
Positano @ RP,"Italian, European",ShrTh,5,"We had a lovely dinner at Positano@RP. The ragu fettucine was fresh and well made. Service was great with staff checking in on us, ensuring we were comfortable :) We enjoyed the experience!More"
Positano @ RP,"Italian, European",mikatanoue,5,"Staff are very friendly and warm, attentive to our needs. Had a birthday celebration for a friend and they arranged for a cake to be sent out specially for her, very tasty as well!

the Pesto linguine and truffle fries is a must try!More"
Positano @ RP,"Italian, European",Puddingsugarplum,5,The restaurant felt cozy and the staff here are friendly. They made sure the food was alright and asked if we needed anything else. The food was great too ! Would definitely come here again :)More
Grand Shanghai Restaurant,"Chinese, Asian",sjchinonly,4,Food is nice . Ambience is nice.  The staff waiting on us ah miao was also very attentive and quick to answer our question and attend to our needs . Good experience!
Grand Shanghai Restaurant,"Chinese, Asian",Sean N,5,"We came for dinner to celebrate my dad’s birthday and also gather for a pre-CNY dinner. It was my first time here, having heard recommendations from friends. 

Ordered the jellyfish appetiter, Peking Duck, wasabi prawns, deep fried cod, asparagus with crabmeat and shanghainese crab bee Hoon.

Overall, the food was great and every dish met our expectations. Special mention goes to the Peking duck with its super crispy skin and the crabmeat beehoon! Highly recommended to those who wish to try this restaurant. 

Also, we would like to thank staff Queenie for being so attentive to our needs and prompt in responding to all our requests. She was friendly and spontaneous, which improves the dining experience! 

Overall, great food and even better service. Will definitely return!More"
Grand Shanghai Restaurant,"Chinese, Asian",straystone,5,I come here to eat Shanghainese Flavours every month.The most authentic Shanghaiese Flavours in Singapore.Huang Ru service is also very good.
Grand Shanghai Restaurant,"Chinese, Asian",Eileen_muu,5,"Met a very friendly server by the name of Li Zong Miao whom made our dinner very pleasant and very welcoming! Her recommendation was very good and each dish was very delicious and excellent. Throughout the dinner, Miao, also made sure that our dishes were served very timely and warm. She also checked that our dessert was served promptly. 

Another colleague of her, Huang Ru, also made our stay and visit very welcoming and her friendly smile was throughout our dinner!More"
Grand Shanghai Restaurant,"Chinese, Asian",Wang Y,5,"Nice restaurant with beautiful decoration, very good food, ambiance and service. Li Zong Miao is very kind and friendly."
Grand Shanghai Restaurant,"Chinese, Asian",stevenz914,5,"Visited this restaurant on my birthday with my family. Originally from Shanghai, we found the food here is very authentic, truly Shanghai taste. Highly recommended."
Grand Shanghai Restaurant,"Chinese, Asian",Foodie92726,5,"Had few other tables with birthday celebration.
Food was amazing and the service was great.
Even when the restaurant was quite full, the staff was very kind to go around the tables and provide a good service.
Would definitely recommend!"
Grand Shanghai Restaurant,"Chinese, Asian",ValerieC2646,5,Food was very good and service by Huang Ru was excellent! Highly recommend the aromatic duck and lobster porridge
Grand Shanghai Restaurant,"Chinese, Asian",sgsg2021,5,Had an amazing time! Food was delicious and service was excellent! Definitely commending Miao from the service crew for the wonderful experience.
Grand Shanghai Restaurant,"Chinese, Asian",Tour769134,5,Great place for family dinner. Ms Miao was attentive and thoughtful. Will visit again for a warm and cozy meal.
Grand Shanghai Restaurant,"Chinese, Asian",tomlimm,5,Dishes were tasty and special. Staff Ms Miao served us really well and very attentive. Will be back to dine again
Grand Shanghai Restaurant,"Chinese, Asian",Jonatong,5,We were served by Li Zong Miao and the service is good. The food is delicious and flavorful. Nice smoke duck 🦆.
Grand Shanghai Restaurant,"Chinese, Asian",joycetqh,5,"It was an great visit to the restaurant. The ambience is quiet, relaxing and comfortable. The place was spacious too. Queenie was attentive and gave us recommendations on how much and what to order. It was a very personal service rendered by Queenie!"
Grand Shanghai Restaurant,"Chinese, Asian",mhoyu,5,"Would like to give great compliments and thumbs up to the manager Brenda and Li Zong Miao.
They provides excellent great services and made us feel like home.
The food served were awesome and all our guest love it.
During the event, Miao even constantly More"
Grand Shanghai Restaurant,"Chinese, Asian",Chong_600678,5,Good place and nice ambience to enjoy eating and chit chat. Service staffs is pleasant especially Ms Miao great service. Highly recommended for visit.
Grand Shanghai Restaurant,"Chinese, Asian",charlesheaton1,5,Li Zong Miao  Execellent service. Very attentative.It’s going to come all the way. The family loved it!!
Grand Shanghai Restaurant,"Chinese, Asian",LimY94,5,"Service and food were exceptional. Loved everything about it. Our server, li zong miao, went above and beyond to provide us with great service. Overall a wonderful experience. We will definitely be back"
Grand Shanghai Restaurant,"Chinese, Asian",951jaspery,5,"Amazing service by miao! She recommended the best dishes and kept us engaged throughout the dinner. She made sure that everything came on time and constantly asked for feedback on the quality of food. 

She has a bright smile that made us feel so welcomed ."
Grand Shanghai Restaurant,"Chinese, Asian",j0winy,5,"The service was excellent, the food was delicious and the ambience was relaxing. The waitresses were attentive and friendly."
Grand Shanghai Restaurant,"Chinese, Asian",Carwaykiwi,5,Miao served our table and she was prompt and polite in service. The food and ambience was great. Thank you to all staff at Grand Shanghai. Including David who wasn’t around.
Grand Shanghai Restaurant,"Chinese, Asian",clb_chia,5,"The service person, Li Zong Miao gave excellent service. She was moving around really quickly, ensuring not just my table, but everyone else was being served without delays. Really really added that amazing touch to my dinnerMore"
Grand Shanghai Restaurant,"Chinese, Asian",joeltanggg,5,"Am a regular here, always love the big xiao long bao and the crispy eel appetiser!

Nice ambience and wonderful attentive service by miao and Susan. Always a pleasure :)"
Grand Shanghai Restaurant,"Chinese, Asian",jqchn,5,Had a lovely time catching up with my friends over a delicious Chinese meal. We were hosted by Miao and Susan who were great and attentive to our orders and requests!
Grand Shanghai Restaurant,"Chinese, Asian",vchnwe,5,Superb food and hospitality by Miao and Susan. They are very patient and attentive to our request. We had the crispy eel which were delicious. Enjoyed our dinner here
Grand Shanghai Restaurant,"Chinese, Asian",dogdogdogdogdogdogd,5,"waitress:Miao
extremely affable and helpful never fails to fill your cup of tea. great service and overall amazing experience with amazing food."
Grand Shanghai Restaurant,"Chinese, Asian",mayuenna,5,"Every dish we ordered was absolutely fabulous! The service provided by the waitress Huang Ru was excellent! After our dinner, the chef even came out to speak with us to find out if the dishes have been cooked to our delight, and if we have More"
Grand Shanghai Restaurant,"Chinese, Asian",GaryShen81,5,We would like to complement your staff zong Miao for her exceptional service to our table. It was my parents in law birthday celebration and we are pleased for making our first visit to the grand shanghai a memorable one. Highly recommended.
Grand Shanghai Restaurant,"Chinese, Asian",ZBXsg,5,"Nice food, good service by waitress Li Zong Mian. Cozy environment. Strongly recommend the xiao long bao and the chicken/ wanton soup."
Grand Shanghai Restaurant,"Chinese, Asian",EdenLovingO,5,Great presentation of food and amazing service ! Love the smoked duck. Thank you huang ann fir the awesome service :-) Definitely will be back.
Grand Shanghai Restaurant,"Chinese, Asian",nic19901,5,Good Unique Food and great service by the team and Huang Ru. Authentic Shanghainese food and nice ambience.
Grand Shanghai Restaurant,"Chinese, Asian",spideyli,5,"great food, awesome service. and in spite of a full house this evening, Miao still found the time to take care of us, and make us feel so at home as always. thank you!"
Grand Shanghai Restaurant,"Chinese, Asian",608linusa,5,Great restaurant with great food! Ms Li Zong Miao served us food and was patient with our requests. She had a friendly attitude and food came promptly!!
Grand Shanghai Restaurant,"Chinese, Asian",Gregory6253,5,"Good service , requests are timely serviced. 
Ms li zong miao was our waitress and she is very friendly. She is efficient and overall we are very pleased with our dinner experience. Highly recommend people to come :)"
Grand Shanghai Restaurant,"Chinese, Asian",sglpp,4,Good and friendly service. Nice food and good ambience. No live band /singing due to covid but we still enjoy the dinner.
Grand Shanghai Restaurant,"Chinese, Asian",ericaang,5,Love the service and food here. A great dining environment. Well done and hope to have more promotion.
Grand Shanghai Restaurant,"Chinese, Asian",YeongSH,5,"We had our family tim sum lunch at Grand Shanghai and found it to be good. But what enhanced our enjoyment even more was the wonderful service rendered by Huang Ru. She was attentive, serving us promptly with a smile always. Displaying great enthusiasm,she recommended More"
Grand Shanghai Restaurant,"Chinese, Asian",gankh1972,5,"Had a very good experience at this place. Waiting staffs were very attentive especially this waitress, Miao, gave us very good service. Good ambience, recommend to try."
Grand Shanghai Restaurant,"Chinese, Asian",Wenyiong,4,Good food and even better service! Would come again and order their set meal. Nice ambience with a good viewMore
Grand Shanghai Restaurant,"Chinese, Asian",Ashley6788,5,The service and food was fantastic! Ambience was great too! All of us had an amazing time at the restaurant!!
Grand Shanghai Restaurant,"Chinese, Asian",Natyeo2567,5,"Had a great experience at Grand Shanghai, great food and service by Huang Ru. Will be back again!!:)"
Grand Shanghai Restaurant,"Chinese, Asian",Natsnna,5,We had our year end luncheon with them. Food and service really good! Keep it up! Thank you you all! Will definitely come againMore
Grand Shanghai Restaurant,"Chinese, Asian",saiwaiho,5,"Smoked duck is a must try. So far the best i have ever tried amongst other restaurants. 
Service is top notch by Brenda & Huang Ru."
Grand Shanghai Restaurant,"Chinese, Asian",VuittonistXII,5,Great experience through fantastic personal experience rendered so that food consumed would not affect my allergies. I am extremely appreciative for such great hospitality rendered by Li Zong Miao! I would not mind visiting this restaurant again to celebrate future events!
Grand Shanghai Restaurant,"Chinese, Asian",silly1125,5,Second visit for a birthday celebration. Consistent and great quality food. Excellent service and very nice ambience.
Grand Shanghai Restaurant,"Chinese, Asian",estherssl,5,"Attentive service, cheerful and friendly attitude. Food and variety was excellent. Overall all guests were happy with the meal. Will be back"
Grand Shanghai Restaurant,"Chinese, Asian",michyit,5,"Would like to give a special shout-out for Li Zong Miao’s excellent service. She’s very attentive and warm, made the whole dining experience awesome!More"
Grand Shanghai Restaurant,"Chinese, Asian",ChloeS822020,5,"Excellent service by Ms Li Zong Miao!Very friendly, nice food, nice ambience! Nice place! We will come again!"
Grand Shanghai Restaurant,"Chinese, Asian",AlanK2534,5,Good food good environment.and good service 良好的环境，美味的上海佳餚，優质的服务，地点方便，有礼貌的服务生，親切的笑容，有旧時代的装煌，古色古香，令人身感其境
Grand Shanghai Restaurant,"Chinese, Asian",cloverthepig,5,Huang Ru was very attentive to our needs. Food is great as well. 👍 will recommend this place for celebrations.
Grand Shanghai Restaurant,"Chinese, Asian",Audacious92,5,"The restaurant staffs are very friendly. Staff, Ah Miao even assist us in cutting the cake. Recommend everyone to come"
Grand Shanghai Restaurant,"Chinese, Asian",zkangzy,5,Miao was friendly and attended to us promptly. Nice ambience and the Food was delicious. Service rendered was good.
Grand Shanghai Restaurant,"Chinese, Asian",toadzzy,5,"Came for a birthday dinner with family. Was served by a super attentive and friendly staff member, Miao. Ordered the peking duck - no regrets. All in all, had a very enjoyable time."
Grand Shanghai Restaurant,"Chinese, Asian",osknicole,5,"Had a wonderful dinner to celebrate my birthday tonight at the Grand Shanghai. We were made to feel right at home with the excellent service from Ms. Li Zong Miao. She was incredibly attentive and friendly, making our dining experience an extremely pleasant one!"
Grand Shanghai Restaurant,"Chinese, Asian",ZhangZ154,5,"Fantastic food, fantastic ambience! And we were also served by the most amazing service staff I’ve met (Li Zong Miao)! 7 stars for service quality! Well done and will certainly be back again!"
Grand Shanghai Restaurant,"Chinese, Asian",clarad323,5,"Wonderful ambience and food, with excellent table service by Zong Miao, who took great care of our table and was a welcoming presence that made us feel like we were dining at a friend's place."
Grand Shanghai Restaurant,"Chinese, Asian",hzhou1,5,Food is good! Love the atmosphere. Would definitely recommend others to come. Service is tip top too.
Grand Shanghai Restaurant,"Chinese, Asian",seravy02,5,Overall good experience. Staffs were very friendly and food were amazing ! Definitely come back again
Grand Shanghai Restaurant,"Chinese, Asian",jsy12345678,5,Had a good experience in Grand Shanghai restaurant. Miao provides a very good service! Thank you very much!
