Restaurant Name,Restaurant Type,Reviewer's Name,Rating,Comment,rating_class_main,rating_for_comment
Yummy Punjaby,"Bar, Indian",841shantanub,1,"Yummy Punjabi can really do better and increase their standards if they start taking customers  feedback seriously. Unfortunately, they don’t do it . This is my second time when I have order for some food and they have sent me , half cooked -burnt samosa .Highly disappointed with their food quality.",-1,-1
Humpback,"Bar, Seafood",David K,5,"Humpback does a limited chef's table offering every couple of months, for only four diners a night. We had a superb seafood-oriented seven course affair, paired with three cocktails designed specifically for the menu. These were really very well done and enhanced the flavour of ",1,1
Cafe Mosaic,"Singaporean, International",budifjap0512,4,"we took our breakfast there which is very adequate choices for me. there is a very tasty muesli, yogurt with fresh fruit, fresh salad with honey mustard sauce which I like it very much. you may have as many cups of any kind of coffee ",1,1
Carousel Buffet,"Seafood, Sushi",IcezHotelz,4,"A wide spread of food choices. From Japanese to Indian to western and desserts.

The fun item was the birthday celebration that they dance and perform for the birthday babies. 

The food are of high quality too. Would love to go again.",1,1
Din Tai Fung (Paragon Branch),"Chinese, Asian",Andy G,4,"I was with my wife and mum in law when we were having lunch here.
The Xiao Long Bao was good and so was the pork chop rice.
Service was quick and good and we will recommend to family and business meals here.",1,1
Zam Zam,"Indian, Asian",hazelona,1,"Staff is rude as hell in all aspect.
We bought some mains, everyone’s main came except for one, waited patiently for 30mins after every finished eating, and still not here. Called a waiter to check for me but he brushed me off like as if ",-1,-1
Zaffron Kitchen,"Indian, Asian",amitjain1512,2,"This used to be one of my recommended eating places for good north indian food. Infact I have previously written a superb rating for them.  For some reason visited them after a bit of gap, and OMG, what a disappointment they have become. Firstly they ",-1,-1
L'Angelus,"French, European",GH803,3,"Ok place, seating outside, noisy with uk football from the bar next door, friendly service, food average really for such a long time established place. Much prefer Les Bouchons just next door. Same owner, just better.",0,-1
Yantra,"Indian, Asian",Vacation48831779976,1,"I am at the restaurant and writing this feedback. The food was average and service was pathetic. Veg dishes were empty most of the times and we need to request them to fill it. Asked for the Bread basket and waited for 15-20 mins.
Ice ",-1,-1
Uya Singapore,"Japanese, Asian",sweetsamsations,3,"Service and ambiance was nice. However, we found the unagi to be quite pricey for what was served. It had a lot of bones and was a little too salty for our liking. Texture was also a little too crispy overall. Much preferred Man Man ",0,0
Earlybird,"Cafe, Fusion",wrawlind,5,"The coffee here is fantastic! I'm not usually a chai drinker, but my go-to drink here is the Dirty Chai, which is a fragrant, not-too-sweet chai with a double shot of ristretto (didn't know the difference b/w ristretto & espresso until the owner/chef explained it ",1,1
Knots Cafe and Living,Cafe,Andylowhei,3,Came here with my wife after splurging at the tamiya warehouse nearby. Location looks nice at first glance but when you are actually sitting down. There's too much deco going on which makes it a little too overbearing. The food prices  is a little bit,0,0
Birds Of A Feather,"Asian, Fusion",FemmeLibre1,3,"Held off my review till my second visit to see if anything changed - nope! The concept, decor, and menu remains interesting enough - an eclectic and sometimes unique blend of modern Sichuan flavours with in a western presentation. But given the abundance of options, ",0,-1
Naked Finn,Seafood,kikikyo,4,"Piquant rice vermicelli was something so unique and unexpected. Plain looking white “bee hoon” also known as vermicelli. Topped with deep fried sakura ebi. The bee hoon was savory and sour, but with the sweet sakura ebi the combination was spot on!!",1,1
Rang Mahal,Indian,salem203,2,"We went to the the Executive Lunch on a Weekday. Service was good. Restaurant was 80% empty.
The Executive lunch was very poor value. They would be full if they had a normal buffet.",-1,-1
Si Chuan Dou Hua Restaurant,"Deli, Fusion",Cheehin71,1,"Wanted to convenience our foreigner customer and so we decided to to have lunch booking In this restaurant , my colleague called few times but not able get through have the booking ,we went restaurant directly to do the booking ,hostess was not really polite ",-1,-1
Sinpopo . Brand,"Cafe, Asian",Daniel T,3,"Food wasn’t as good as the reviews suggested - in fact pretty average. Sadly not improved by the service, which was impolite at best. That sad, the staff were overworked (only 2 covering the entire restaurant), so can’t really blame them for not being very ",0,0
Akira Back,"Japanese, International",Noname6789,5,"Lunch started off well when we were warmly greeted at the door and shown to our table, which was situated in a quiet corner. Mathan came along and recommended some food dishes such as the Horenso and Toro Cavier. The outstanding dishes were the Holy ",1,1
Tampopo,"Japanese, Sushi",funkycherrycola,3,"Decided to try out Tampopo after seeing online reviews raving about its ramen. Ate at the Takashimaya outlet and tried it's chashu ramen. Wouldn't say it's one of the best ramens I've ever tasted but it was above average, only issue I had with it ",0,0
LONG BEACH UDMC,"Seafood, Singaporean",Billytoucan,3,"Well, I was last in Singapore 20 years ago and the memory etched in my brain was of Black Pepper Crab.  So when a local strongly recommends a location, you go. 

We had just 3 items, Black Pepper crab, Sambal beans and steamed rice. The ",0,0
Stateland Cafe,Cafe,Julesj70,3,"We entered the cafe just wanting  a coffee and for some reason drew the wrath of the waitress. She begrudgingly seated us and mumbled something which we interpreted as go to the bar to order because although there were only a couple of other customers in the cafe, she clearly was more interested in playing on her phone than serving us.  So we ordered at the bar and were asked to pay immediately - this was not a take away order - so another thumbs down 

As mentioned; coffee was great. The lemonades could have been anything as there was little taste of lemon, Probably better off with tap water.   Very dark and no ambience to the place. 

Wouldn’t come back or even recommend as there are plenty of great coffee shops in the area.",0,-1
Ma Cuisine,"French, European",Yoyoprincess,5,"Definitely the best experience I have had in Singapore!
This place is cozy and comfy, whether you want to sit at the bar or comfy couch or even outdoor seating.
Professional service with good wine knowledge  and food pairing.. Been here so many times with ",1,1
Culina at COMO Dempsey,European,Tyeo,3,"On 18th May, I decided to try out the new Culina restaurant@Dempsey. First impressions were good and the ambience of the restaurant was, as expected, cosy and casually chic. I decided to order the bouillabaisse to see if it compared to the ones I recently ",0,-1
Wing Seong Fatty's (Albert) Restaurant,"Chinese, Asian",randys296,3,"After living in the Philippines for years we were looking forward to some authentic Chinese.  This place did not live up to the reviews.  The chicken fried rice was bland, the vegetable plate was good and the Char Sui was just char sui. Our hotel ",0,0
Majestic Restaurant,"Chinese, Asian",Navigator58167606909,3,"The duck and the spiced pork was really really delicious! However, there was one dish - foie gras meat ball roll recommended by the staff which was tasteless. Felt like we were just eating flour. Definitely not worth the price tag. Please avoid this dish .",0,0
Spize @ River Valley,"Mediterranean, Asian",loweddie,3,"Visited Spize RV on 21/10/18 2:15am. Would like to feedback a negative experience I had. One of the staff took down my order and when the food was served. One of the items was wrong. Upon checking back with the staff. He claimed that he wrote down Nasi Goreng Pattaya while I have asked for Maggie Goreng pattaya. When I tried to ask for a change. He claimed that the order was done and he clearly wrote down N G Pattaya. My Wife and I were sure that I have said Maggie Goreng Pattaya. What was disappointing is not that the orders was wrong with but the staff who unapologetic said that he wrote down Nasi Goreng clearly. My point is what I ordered is not what he wrote. And such service standard is really unacceptable. Been to Spize RV couple of times, never had any issues before and this negative experience will really prevent me from heading there again. 

I'm not gonna mentioned any names. Just wish to highlight this to the management to educate the correct service attitude. Throughout the whole commotion. Not once, did the staff apologize and insisted that he wrote down correctly. It's just so amuse that do I have to eat what he wrote correctly, or do I eat what I ordered?!?!.",0,-1
Chin Huat Live Seafood,"Chinese, Seafood",sanju72015,3,"Chin Huat is still popular. About 3/4 full on a Sunday at around 7 p.m. 

Haven’t been here for almost 8 years. Not because of the quality of food but they couldn’t handle the crowd and we had waited for 45 minutes for water to ",0,0
COCA Singapore - Ngee Ann City,Asian,103devikam,2,The service staff seemed very rushed-they gave us a pre ordered soup base (belonging to someone else I assume or ordered by someone else) Chicken soup stock had too much fat. We missed our Old favourites as there are many items now  off the menu-especially,-1,-1
Brunches Cafe,Cafe,feizhu,3,"Background-
Small nostalgic café located along Rangoon Road with lots of knick knacks, old movie posters, furniture and a dissected morris mini. Nearest MRT - Farrer Park on the North East Line. 

Food-
Average at best. Nothing we tried was inspiring and the nachos tasted ",0,0
The Boiler (Esplanade),"Seafood, American",kavisharaj2020,5,First time dining here and loved the seafood bag. The pasta was also good with good portion for the price. Loved their lava cake and salted caramel ice cream. The combination was superb which we never tried before.,1,1
Beach Road Kitchen,"Seafood, International",Dejections,5,"Amazing place and amazing service. 
Really want to take this time to thank 
Mr Ali, Mr Raj, Miss Kendy and the entire team here for their impeccable service and being so patient with us.
Thank you so much guys.",1,1
Club Street Social,"Cafe, International",JenW1080,3,"This restaurant has a lovely, chilled vibe, with friendly, attentive staff and a good menu.  However, the Eggs Benedict I ordered - although delicious - was the smallest I have ever been served in my life!  The eggs were petite and the muffin they sat ",0,0
Venue by Sebastian,$$ - $$$,CCHSingapore,5,"This restaurant was a little hard to locate, but once you find the entrance of Downtown Gallery and take a walk in, the restaurant can easily be found on the left of the passageway. 

The restaurant is not bound by doors and its concept is ",1,1
Cook & Brew,"Bar, International",HTG2,3,"The whipped buffalo milk & ricotta cheese with truffle honey and grilled bread was outstanding as an entree.  As a main, the Miso cod was a good portion and very well cooked however came with an ant's portion of Chinese broccolli.
We had the shaved ",0,0
Al Forno,"Italian, Pizza",Jolene08,3,"An Italian restaurant in the neighbourhood. If you are looking for good comfort food, this is the place to be. Perfect for families but not for couples as it tend to be very noisy. I can hardly hear my partner. It gets a very low ",0,1
Wine Connection Cheese Bar,"European, Wine Bar",C2668EDjenniferr,4,A great place if you love wine and cheese. A great selection of both and reasonably priced. A great manager who knows his stuff and is warm and friendly too. The service is great too.,1,1
PizzaExpress,"Italian, Pizza",451vigo,3,"The Pizza Calabrese was a good choice and sowas the Linguine aglio olio with plump prawns. Pizza carbonara was so-so after the spicy Calabrese. The desserts: tiramisu, Brownie with icecream and cheesecake were standard offerings. Service was attentive and helpful. Will return!",0,1
iO Italian Osteria Singapore,"Italian, Mediterranean",vinay_desai1,3,"Service was a let-down with servers not greeting anyone. Generally servers seemed not bothered. Our pasta took two rounds around the restaurant while the server tried to figure out which table it was for - same person who took our order. Various juices and drinks were not available. Small plates are unique and worth a try. Homemade bread basket was warm and enjoyable. Pasta was slightly above average in total, but the homemade pasta was nice. Tiramisu and panna cotta were enjoyable. As a whole, we may do a takeaway but would not want to dine-in.",0,-1
The Song of India,"Indian, Asian",travelingover,1,"I took my family for lunch to song of India with hopes of celebrating my mom's birthday - worst decision made. 

The food was mediocre, the decor average & the service, horrendous. We ordered a bottle of wine & after having asked multiple times for ",-1,-1
Beef Yakiniku Dining Yakiniquest,"Barbecue, Japanese",Mengami,5,I'm very reluctant to review this restaurant because one part of me wants to keep this great find to myself. But I have benefited a lot from this site in the past. It's the best grilled beef that I've had in Singapore. That's all I'm,1,1
Komala Villas Restaurant,"Indian, Asian",themanfromearth,3,Went here a couple of times to have the meals and tiffin. The meals are quite average and the servers are quite rude on the 1st floor. They look unhappy when u ask for more servings. We gave feedback to the manager too. What’s worth,0,-1
The Banana Leaf Apolo,"Indian, Asian",lolita996,1,We were told by our taxi driver that this was a good restaurant near out hotel.  I am used to excellent Indian food in Tampa Bay Florida and we have some excellent buffets with lots of great food.  This place is a rip off and,-1,-1
Ginger,"Asian, Singaporean",xolftxo,3,"Brought to a seat wherr the chair was dirty with Chilli Crab Sauce. Asked for a change of chair, one of the lady staff who walked past just told me ""oh okay"" and never returned to change the chair for me. Was just standing by ",0,-1
Bumbu,"Asian, Indonesian",la_speranza,4,I was visiting Kampung Glam and shopping for some Arabic perfume oil. By 11-ish I got a bit hungry and went looking for food. Plenty of choices around but I wanted a nice and different place. Then I was on Kandahar street and there I,1,1
Fat Prince,"Turkish, Middle Eastern",superlola7,1,"Disappointing service, we spent a long time waiting around and our wine order was then forgotten. Twenty mins later after we reminded two waiters we were told that they that sold the last bottle of that type. You might expect they would offer us a ",-1,-1
Al Jilani Restaurant,$,barchart184,4,"I always tend to gravitate to Al Jilani when I am in Singapore, always open and good value for the money food. They have expanded their menu since the last time I visited, but the standard dishes are still up to scratch.",1,1
SKAI,"Grill, Contemporary",da_show82,2,The staff were rushing us to finish our afternoon tea so that we will leave at 5pm sharp. Before that they did not allow us to go into the premises just 10 minutes earlier than the reservation time even though the restaurant was quite empty .,-1,-1
Violet Oon Satay Bar & Grill,Chinese,Footprints598627,2,Food was wonderful ..but the night was ruined as the service was a complete disaster. So many problems from the time we walked in until we left . the waitress even rolled her eyes at us! I would not return based solely upon the service.,-1,-1
The Sushi Bar,"Japanese, Sushi",gilbertg297,1,Ngee Ann city outlet long queue lousy staff service. It's cheap because the quality is not there. Don't bother queuing if all your dining members are not there. It's pure waste of time and not worth the queue.,-1,-1
Decker Barbecue,$$ - $$$,tbu2016,1,"Family of 4 we decided to try Deckers as the reveiws all seemed good.
We asked for 2 portions of ribs and 2 portions of  pulled pork and were given a share plate with 4 ribs,  a splodge of pulled pork with some fries and ",-1,-1
PocoLoco,"Italian, European",allthewaylh,4,"Had a lovely tenderloin steak, medium rare, really smooth and tender, could be the best steak i've ever had. Ended with a sweet tiramisu. Just hope for more a larger selection of wines by glass and to introduce some beers on tap which wasn't available.",1,1
Pince and Pints (Duxton),"Bar, Seafood",Bjorn O,3,"We were off to a bad start, when told that we could not buy tap water.  We refuse to buy water that has been transported half way around the globe, when Singapore has some of the best tap water in Asia.  Paying for the tap ",0,0
Fook Kin,"Chinese, Asian",ongtingyong,3,"Meat was very good but more fatty than I would have preferred it. Service was fast and good. A little pricey, but considering it’s rather cafe style, yeah, but still expensive. One of the more delicious bowls of pork roast noodles I have had. Worth ",0,0
Saveur (Purvis),"Fusion, French",dakashitay,1,"Saveur. If I could give zero star for its customer service, I would give it. Customer service decides everything. Food is secondary to me. Left the restaurant 1 min after entering. Politely requested a more comfortable table but was rejected by the waiter, Garmesh (not ",-1,-1
Corner House,European,vdemich,3,A lovely place but I was dismayed to be put in a viewless back room with an unruly tour group when the beautiful front room with views of the gardens on three sides was virtually empty. Be careful when booking to specify your preference.,0,0
PizzaExpress,"Italian, Pizza",TeoC668,5,"Is my 2nd visit to their latest outlet at Duo Galleria. Like the relaxed atmosphere & the friendly service staff. Always have a smile on their face. Today I am having their pizza with Mushroom, ham,olives & morzella  cheese. I like to go with a ",1,1
Anglo Indian Cafe Bar,$$ - $$$,tanszeyun,5,I’ve been to the CHIJMES and Shenton outlet a few times and I find the cheese naan and butter chicken curry the best serve. It is very delicious and the service staff are very friendly and the price of the drinks are very reasonable.,1,1
Bedrock Bar and Grill,Steakhouse,jeckli,3,"This resto has a perfect location in Somerset Road yet they don't have good food.  The steak is not that good and too pricey.

One of our orders wasn't placed though and well, there's nothing to cry about.

The service though is good.",0,0
Alt. Pizza,"Bar, Pizza",jim88885566,3,"I completed a small form for my order of a pizza and a burger. Firstly, the waiter incorrectly confirmed my order, ""Just a burger""? then he tried for the up-sell , ""any drinks?"". I pointed out that I was ordering a pizza as well as ",0,-1
Marche Movenpick Suntec City,"Swiss, European",Iffyct,3,"Made the mistake of booking lunch at 12.30 on Friday! What a madhouse,people queuing 12-15 deep at almost all the stations. The limited staff just cannot keep up with the volume  of demand at this time. Drinks are outrageously high too, like 5 star hotel ",0,-1
Druggists,"Bar, Pub",222jits,3,"What do you do with an old Chinese medicine store in a shop house? You turn it into a bar of course. If the old, old skool interior isn’t enough to entice you in, the twenty over craft beer selection should do the trick. That is when they’re all working of course, as when we visited, only a few taps were working. But to be honest the beer we had was still good, so all you need for a good night here is perhaps the one tap.",0,-1
Alaturka,"Mediterranean, Turkish",Christophe H,3,"We were seated inside and I loved the decoration however the musical background did not match the setting. The bread looked great. 
Since we had people with dietary restrictions in the group, it was not a problem for the waiter to remove the beef from ",0,0
Akashi Japanese Restaurant,$$ - $$$,MelissaT2722,1,"I had brought overseas guests to dine at Akashi (Orchard Parade Hotel). Having frequented the Paragon branch several times before, we were expecting a pleasant dinner. 

Whilst ordering our mains, my guests requested to share a sashimi/sushi platter. The waitress immediately suggested a platter of ",-1,-1
Chatterbox,"Chinese, Asian",Ricky Y,3,I came here because I had heard too much about their prize winning Chicken rice in Singapore but I was a bit disappointed. The portion of the chicken was generous but the skin was greyish rather than shiny yellow expected of quality chicken and then,0,-1
Spruce,Dining bars,ReneeTASG,3,"Visited for brunch last Sunday and arrived a little past 1pm. We waited at the entrance for a good 10 minutes for someone to notice us before we were seated. When we were ready to order, it was so difficult to get hold of any ",0,-1
IndoChili - Halal Indonesian Restaurant,"Singaporean, Asian",Jeff U,3,"Went with family and friends on a weekday evening. The location is fairly central on Zion Road -- a bit difficult to park around there, but easy enough to go to Great World City across the way and walk over from there.

Nice decor and ",0,1
Tampopo,"Japanese, Sushi",ZLKing,3,"We've always enjoyed a visit to T, a firm favorite with the kids.

Today I have to say I am sorely disappointed, as the triple black ramen was bland and the even the old favorite Negi Chilli Ramen was tasteless! 

What happened after the renovation?? ",0,1
The Black Swan,"Steakhouse, Bar",MikeSoon,1,"I came here with very high hopes for the beef.  Having tried chuleton de buey/vintage beef in Spain, I was very excited that this restaurant in Singapore has this as well. I really wanted this place to be good.
All started well.  The vibe was ",-1,-1
Flight Bar & Lounge,$$ - $$$,Jody C,5,"Even if you don't stay at the Marina Bay Sands, do take the time to visit this bar.  The drinks are expensive, but good - but the VIEWS!!!  Oh wow.  Definitely worth it.",1,1
Black Angus Steakhouse,"American, Steakhouse",TravelDeFamly,3,"Had dinner here wife had the ribs and I had the steak sandwich both were ok, also had a tiger beer. the grand daughter had the kids burger and fries the meals were ok.  reasonably priced and ok service",0,1
The Grand Lobby,"European, British",Daisy_3367,5,"I was late for the reservation, but the staff is attentive and very nice to welcome us. The food is delicious and really suitable for taking beautiful pictures! Anyway my friends and me enjoy a wonder afternoon!",1,1
Beauty in The Pot (The Centrepoint),$$ - $$$,n_marcella,2,"Few choices only, taste not good compared to Hai Di Lao, choices of sauces and fruits were far less than Hai Di Lao. Will not visit in the future for sure and not recommend this place to friends n relatives.",-1,-1
StraitsKitchen,"Indian, Asian",KikinY3,5,"Company lunch on eve of xmas. I am impressed. Dishes cook to perfection. They use fresh ingredients. Fresh prawns. Big fat made to order chinese popiah. The best laksa I’ve ever had, tasty gravy with fresh dried prawns. Fried carrot cake not too oily. Perfectly ",1,1
Rubato Italian Kitchen & Wine Bar,"Italian, Pizza",Adventure212823,5,"Been to Rubato many times, with different groups of friends. Has never been disappointed by their very consistently delicious and generous serving. My favorite is the angel hair pasta, as well as the crab angel hair pasta. 

Today, we had the angel hair pasta, seafood ",1,1
Saveur (Purvis),"Fusion, French",lebamyo,2,The standard has dropped a lot since i first dined here in 2014. Duck confit was very dry. Foie gras was oversalted and its garnishes did not match at all. Redeeming factors were the rich onion soup and creme brulee for dessert.,-1,-1
Brewerkz (Riverside Point),"American, Bar",Alex R,1,After a long walk through the city I went to Brewerkz to have a beer and enjoy the view. I was completely neglected by the personnel. No one even took the initiative to give me the menu or ask me if I would like to,-1,-1
Prive Keppel Bay,Cafe,Rebecca L,3,"Food was okay, steak was overcooked and tough. Mushroom soup was normal , have had better. Impossible burger was good. Ambience was alright. It was raining before we were seated, the chair was damp and had to request for cushions. A little hard to get ",0,0
Hajah Maimunah Restaurant,$$ - $$$,coffeenut64,5,"This restaurant was suggested to us by a guide, post a tour.
So glad we listened.
Went a total of three times in 4 days, chose different food each time and was never disappointed.
We had to queue  each time but the queues moved quite ",1,1
Hillman Restaurant,"Chinese, Asian",JenTayHX,3,"Went with my Japanese friend at her request because of the popular paper wrapped chicken. It was well marinated but a bit salty for my taste. Every table ordered this dish though!

Other dishes we ordered (garlic spinach, garlic prawn, chill crab, sweet and sour pork) tasted average. I think other chinese restaurants served better ones. We ordered middle portions for 6 adults and 2 children. In my opinion, the servings for middle were small. Should have ordered large. 

Service staff were slow and always seen chatting near the kitchen on the second floor. We had to keep trying to get their attention to order or to refill our tea. Not once did they refilled it on their own and the 2nd level we were at was only half occupied with guests!

As some reviewers commented, there were a few tables who were Japanese so this restaurant must be popular for them. Not sure why.

Food was expensive for its quality. I don't think I will go again.",0,1
The Auld Alliance,$$ - $$$,LisaR628,5,"The choices in this bar are endless! Bottles and bottles line every space in this quaint location. The menu reads like an alcohol bible with choices starting from whisky flights at $38 all the way through to bottles of the good stuff worth thousands. 
Staff are friendly and attentive. Be prepared to settle in here for the night!",1,1
Din Tai Fung (Marina Bay Link Mall),$$ - $$$,FeliciaR184,4,Conveniently located close to MRT made for a great dinner before heading to Marina Bay for the night. We went for an early dinner and were seated and served right away but if you are going later you may want a reservation. We also noticed,1,1
