Restaurant Name,Restaurant Type,Webpage
15. Dolce Vita,"Italian, European",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d948962-Reviews-Dolce_Vita-Singapore.html
16. Colony,"Asian, Singaporean",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8571637-Reviews-Colony-Singapore.html
17. Fu Lin Men Chinese Restaurant (SRC),"Chinese, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d15608624-Reviews-Fu_Lin_Men_Chinese_Restaurant_SRC-Singapore.html
18. Waterfall Ristorante Italiano,"Italian, Mediterranean",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3952172-Reviews-Waterfall_Ristorante_Italiano-Singapore.html
19. Bar-Roque Grill,"French, Steakhouse",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d4504877-Reviews-Bar_Roque_Grill-Singapore.html
20. Spice Brasserie,"Seafood, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d5423955-Reviews-Spice_Brasserie-Singapore.html
21. Hua Ting Restaurant,"Chinese, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d794020-Reviews-Hua_Ting_Restaurant-Singapore.html
22. il Cielo,"Italian, European",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d2616599-Reviews-Il_Cielo-Singapore.html
23. Paulaner Brauhaus Singapore,"German, Bar",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1018167-Reviews-Paulaner_Brauhaus_Singapore-Singapore.html
24. Golden Peony at Conrad Centennial Singapore,"Chinese, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d903929-Reviews-Golden_Peony_at_Conrad_Centennial_Singapore-Singapore.html
25. Chef's Table by Chef Stephan Zoisl,"French, European",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8582472-Reviews-Chef_s_Table_by_Chef_Stephan_Zoisl-Singapore.html
26. Ginett Restaurant & Wine Bar,"French, Bar",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d12159080-Reviews-Ginett_Restaurant_Wine_Bar-Singapore.html
27. Origin Grill,"European, Healthy",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13355758-Reviews-Origin_Grill-Singapore.html
28. Publico Ristorante,"Italian, Pizza",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13200545-Reviews-Publico_Ristorante-Singapore.html
29. Alma By Juan Amador,"European, Fusion",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8504143-Reviews-Alma_By_Juan_Amador-Singapore.html
30. Cherry Garden,"Chinese, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1127934-Reviews-Cherry_Garden-Singapore.html
31. Oscar's,"Singaporean, International",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1109005-Reviews-Oscar_s-Singapore.html
32. Zazz Pizza,"Italian, Pizza",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d15684477-Reviews-Zazz_Pizza-Singapore.html
33. The Wine & Gourmet Friends,"Bar, Wine Bar",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d15142954-Reviews-The_Wine_Gourmet_Friends-Singapore.html
34. Rise Restaurant,"International, Healthy",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3471372-Reviews-Rise_Restaurant-Singapore.html
35. Greenleaf Cafe,"Indian, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8758019-Reviews-Greenleaf_Cafe-Singapore.html
36. Leo Cafe & Restaurant,"Cafe, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d2534383-Reviews-Leo_Cafe_Restaurant-Singapore.html
37. Vianney Massot Restaurant,French,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d10122095-Reviews-Vianney_Massot_Restaurant-Singapore.html
38. KOMA Singapore,"Japanese, Sushi",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d17806127-Reviews-KOMA_Singapore-Singapore.html
39. Cure,"Irish, European",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8414199-Reviews-Cure-Singapore.html
40. Chihuly Lounge,"Bar, Wine Bar",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d2196145-Reviews-Chihuly_Lounge-Singapore.html
41. Soi Aroy,"Asian, Thai",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d15150976-Reviews-Soi_Aroy-Singapore.html
42. 25 Degrees,"American, Bar",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d12208339-Reviews-25_Degrees-Singapore.html
43. Man Fu Yuan,"Chinese, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d877622-Reviews-Man_Fu_Yuan-Singapore.html
44. Whitegrass,"French, Fusion",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d10005598-Reviews-Whitegrass-Singapore.html
45. My Awesome Cafe,"French, Bar",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d6405257-Reviews-My_Awesome_Cafe-Singapore.html
46. Elixir Boutique Roasters,Cafe,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d17791963-Reviews-Elixir_Boutique_Roasters-Singapore.html
47. ShuKuu Izakaya & Sake Bar,"Japanese, Bar",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8393150-Reviews-ShuKuu_Izakaya_Sake_Bar-Singapore.html
48. The Line,"Seafood, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d781864-Reviews-The_Line-Singapore.html
49. Fat Belly,Steakhouse,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13112841-Reviews-Fat_Belly-Singapore.html
50. MTR Singapore,"Indian, Healthy",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d4304406-Reviews-MTR_Singapore-Singapore.html
52. Rosso Vino,"Italian, Pizza",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d6450770-Reviews-Rosso_Vino-Singapore.html
53. Beach Road Kitchen,"Seafood, International",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d11946858-Reviews-Beach_Road_Kitchen-Singapore.html
54. Prego,"Italian, Pizza",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d795050-Reviews-Prego-Singapore.html
55. 665°F,Steakhouse,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13167102-Reviews-665_F-Singapore.html
Uni Gallery by OosterBay,"Japanese, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13186266-Reviews-Uni_Gallery_by_OosterBay-Singapore.html
"57. Anglo Indian Cafe & Bar, Chijmes",Indian,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d14157093-Reviews-Anglo_Indian_Cafe_Bar_Chijmes-Singapore.html
58. The Ramen Stall,"Japanese, Sushi",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8507071-Reviews-The_Ramen_Stall-Singapore.html
59. Mitzo,"Chinese, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d7366408-Reviews-Mitzo-Singapore.html
60. Hummus & Grill,"Arabic, Lebanese",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d15773021-Reviews-Hummus_Grill-Singapore.html
Winestone,"Bar, European",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13913142-Reviews-Winestone-Singapore.html
61. Odette,"French, European",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8800546-Reviews-Odette-Singapore.html
62. Spago Dining Room by Wolfgang Puck,"American, European",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8683187-Reviews-Spago_Dining_Room_by_Wolfgang_Puck-Singapore.html
63. Yan Ting,"Chinese, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1173585-Reviews-Yan_Ting-Singapore.html
64. MONTI,Italian,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d11829379-Reviews-MONTI-Singapore.html
65. Ma Cuisine,"French, European",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13923561-Reviews-Ma_Cuisine-Singapore.html
66. Winestone,"Bar, European",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13913142-Reviews-Winestone-Singapore.html
67. Manhattan,"American, Bar",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d6591993-Reviews-Manhattan-Singapore.html
68. Lawry's The Prime Rib,"American, Steakhouse",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d867247-Reviews-Lawry_s_The_Prime_Rib-Singapore.html
69. Cassia Restaurant,"Chinese, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d816569-Reviews-Cassia_Restaurant-Singapore.html
70. Crossroads,Cafe,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d785035-Reviews-Crossroads-Singapore.html
71. G7 Sin Ma Live Seafood Restaurant,"Chinese, Seafood",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d806645-Reviews-G7_Sin_Ma_Live_Seafood_Restaurant-Singapore.html
72. Cut by Wolfgang Puck,"American, Steakhouse",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d2002823-Reviews-Cut_by_Wolfgang_Puck-Singapore.html
73. BAKALAKI Greek Taverna,"Mediterranean, Greek",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d12489846-Reviews-BAKALAKI_Greek_Taverna-Singapore.html
74. Wine & Chef,"Wine Bar, Fusion",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d12089545-Reviews-Wine_Chef-Singapore.html
75. Tablescape Restaurant & Bar,"European, Grill",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13283486-Reviews-Tablescape_Restaurant_Bar-Singapore.html
76. Spago Bar & Lounge,"Bar, International",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13110781-Reviews-Spago_Bar_Lounge-Singapore.html
77. Shinji by Kanesaka,"Japanese, Sushi",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1896393-Reviews-Shinji_by_Kanesaka-Singapore.html
78. The RANCH Steakhouse By ASTONS,"American, Steakhouse",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13821610-Reviews-The_RANCH_Steakhouse_By_ASTONS-Singapore.html
79. Rhubarb,"French, European",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d7060741-Reviews-Rhubarb-Singapore.html
80. Pistachio Middle Eastern & Mediterranean Grill,"Mediterranean, Middle Eastern",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d10460729-Reviews-Pistachio_Middle_Eastern_Mediterranean_Grill-Singapore.html
81. Asian Market Cafe,"Asian, Singaporean",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d2538601-Reviews-Asian_Market_Cafe-Singapore.html
82. En Sushi,"Japanese, Seafood",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13890924-Reviews-En_Sushi-Singapore.html
83. Peach Blossoms,"Chinese, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1007702-Reviews-Peach_Blossoms-Singapore.html
84. Summer Palace,"Chinese, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3952264-Reviews-Summer_Palace-Singapore.html
85. Tea Lounge at Regent Singapore,International,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d4820274-Reviews-Tea_Lounge_at_Regent_Singapore-Singapore.html
87. Meta Restaurant,"European, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8853103-Reviews-Meta_Restaurant-Singapore.html
88. Aromas of India,"Indian, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3824056-Reviews-Aromas_of_India-Singapore.html
89. Merci Marcel,"French, Cafe",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d15624938-Reviews-Merci_Marcel-Singapore.html
90. Les Amis,French,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1102463-Reviews-Les_Amis-Singapore.html
Artisan Boulangerie Co.,Cafe,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d10642857-Reviews-Artisan_Boulangerie_Co-Singapore.html
91. Tippling Club,"International, European",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d2198083-Reviews-Tippling_Club-Singapore.html
92. Merci Marcel,"Cafe, Central European",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13075207-Reviews-Merci_Marcel-Singapore.html
93. Takeshi Noodle Bar,"Japanese, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d17747355-Reviews-Takeshi_Noodle_Bar-Singapore.html
94. JAAN by Kirk Westaway,"British, Contemporary",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d807776-Reviews-JAAN_by_Kirk_Westaway-Singapore.html
95. Beirut,"Lebanese, Mediterranean",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d2167406-Reviews-Beirut-Singapore.html
96. LAVO Italian Restaurant & Rooftop Bar,"Italian, European",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13402250-Reviews-LAVO_Italian_Restaurant_Rooftop_Bar-Singapore.html
97. Empress,"Chinese, Singaporean",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d9747271-Reviews-Empress-Singapore.html
98. Fleur De Sel Le Restaurant,"French, European",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d4887856-Reviews-Fleur_De_Sel_Le_Restaurant-Singapore.html
99. Ramen Nagi,"Japanese, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13001810-Reviews-Ramen_Nagi-Singapore.html
100. Marmaris Restaurant,"Arabic, Fast food",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d17348063-Reviews-Marmaris_Restaurant-Singapore.html
101. Otto Ristorante,"Italian, European",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1095287-Reviews-Otto_Ristorante-Singapore.html
102. The Curry Culture,"Indian, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3512529-Reviews-The_Curry_Culture-Singapore.html
103. Flutes,European,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d796717-Reviews-Flutes-Singapore.html
104. Wing Seong Fatty's (Albert) Restaurant,"Chinese, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d839328-Reviews-Wing_Seong_Fatty_s_Albert_Restaurant-Singapore.html
105. Cheek Bistro,$$ - $$$,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d10183822-Reviews-Cheek_Bistro-Singapore.html
106. Mr Stork,Bar,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13505117-Reviews-Mr_Stork-Singapore.html
107. Red Sparrow,"Asian, Vietnamese",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13958454-Reviews-Red_Sparrow-Singapore.html
108. Grissini,"Italian, Pizza",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d10859546-Reviews-Grissini-Singapore.html
109. SKAI,"Grill, Contemporary",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d15123886-Reviews-SKAI-Singapore.html
110. Alley on 25,"International, Singaporean",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13128477-Reviews-Alley_on_25-Singapore.html
111. Merci Marcel,"French, Cafe",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d19073505-Reviews-Merci_Marcel-Singapore.html
112. Shivam Restaurant,"Indian, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d15223340-Reviews-Shivam_Restaurant-Singapore.html
113. PS.Cafe at Palais Renaissance,Cafe,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d5429864-Reviews-PS_Cafe_at_Palais_Renaissance-Singapore.html
114. Opus Bar & Grill,"Steakhouse, Bar",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8090171-Reviews-Opus_Bar_Grill-Singapore.html
115. Restaurant Labyrinth,"Singaporean, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d5860815-Reviews-Restaurant_Labyrinth-Singapore.html
116. Inaniwa Yosuke,"Japanese, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d11775579-Reviews-Inaniwa_Yosuke-Singapore.html
117. Ash & Elm,European,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8786604-Reviews-Ash_Elm-Singapore.html
118. LaBrezza,"Italian, European",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3807006-Reviews-LaBrezza-Singapore.html
119. The Dim Sum Place,Chinese,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13322650-Reviews-The_Dim_Sum_Place-Singapore.html
120. Wine Connection Bistro at HillV2,"Italian, European",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d7082243-Reviews-Wine_Connection_Bistro_at_HillV2-Singapore.html
121. Peppermint,"Seafood, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d929185-Reviews-Peppermint-Singapore.html
122. CE LA VI,"Asian, Fusion",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1937704-Reviews-CE_LA_VI-Singapore.html
123. Neon Pigeon,"Bar, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d7963914-Reviews-Neon_Pigeon-Singapore.html
124. PS.Cafe Ann Siang Hill,"Bar, Cafe",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d2538130-Reviews-PS_Cafe_Ann_Siang_Hill-Singapore.html
125. Stellar at 1-Altitude,Contemporary,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1863524-Reviews-Stellar_at_1_Altitude-Singapore.html
126. Bar Canary,Bar,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d5425080-Reviews-Bar_Canary-Singapore.html
127. Wan Hao Chinese Restaurant,"Chinese, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d4170111-Reviews-Wan_Hao_Chinese_Restaurant-Singapore.html
128. The Rose Veranda,International,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3561719-Reviews-The_Rose_Veranda-Singapore.html
129. Captain K Seafood Tower,"Seafood, Soups",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d10050544-Reviews-Captain_K_Seafood_Tower-Singapore.html
130. Artemis Grill & Sky Bar,"Seafood, Mediterranean",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d9564584-Reviews-Artemis_Grill_Sky_Bar-Singapore.html
131. Humpback,"Bar, Seafood",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8649750-Reviews-Humpback-Singapore.html
132. Waku Ghin,"Seafood, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1931154-Reviews-Waku_Ghin-Singapore.html
133. Blu Kouzina,"Mediterranean, European",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d10188367-Reviews-Blu_Kouzina-Singapore.html
134. Fat Prince,"Turkish, Middle Eastern",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d10826631-Reviews-Fat_Prince-Singapore.html
135. La Brasserie,"French, European",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8779313-Reviews-La_Brasserie-Singapore.html
136. Hua Yu Wee Seafood,"Chinese, Seafood",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d778459-Reviews-Hua_Yu_Wee_Seafood-Singapore.html
137. Marriott Cafe,Singaporean,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1028554-Reviews-Marriott_Cafe-Singapore.html
138. The Song of India,"Indian, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d809632-Reviews-The_Song_of_India-Singapore.html
139. Vatan Se,"Indian, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8056412-Reviews-Vatan_Se-Singapore.html
140. Po,"Asian, Singaporean",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d12102163-Reviews-Po-Singapore.html
141. Bistecca Tuscan Steakhouse,"Italian, Steakhouse",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d2703678-Reviews-Bistecca_Tuscan_Steakhouse-Singapore.html
142. Wine Connection Cheese Bar,"European, Wine Bar",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d4079480-Reviews-Wine_Connection_Cheese_Bar-Singapore.html
143. Shang Palace,"Chinese, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d797464-Reviews-Shang_Palace-Singapore.html
144. The Halia at Singapore Botanic Gardens,"Asian, Singaporean",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d778522-Reviews-The_Halia_at_Singapore_Botanic_Gardens-Singapore.html
145. Basilico,"Italian, European",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1466538-Reviews-Basilico-Singapore.html
146. Edge,"Chinese, Barbecue",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3567913-Reviews-Edge-Singapore.html
147. Yardbird Southern Table and Bar,"American, Bar",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d12611519-Reviews-Yardbird_Southern_Table_and_Bar-Singapore.html
148. Corner House,European,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d7052714-Reviews-Corner_House-Singapore.html
149. Haidilao Hot Pot,"Chinese, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3735954-Reviews-Haidilao_Hot_Pot-Singapore.html
150. Din Tai Fung (Paragon Branch),"Chinese, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d794014-Reviews-Din_Tai_Fung_Paragon_Branch-Singapore.html
151. Binomio,"Mediterranean, European",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3737643-Reviews-Binomio-Singapore.html
152. Prive Chijmes,"Bar, European",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d7367295-Reviews-Prive_Chijmes-Singapore.html
153. ATLAS Bar,"European, Wine Bar",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d12358656-Reviews-ATLAS_Bar-Singapore.html
154. Mikuni,"Japanese, Sushi",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1097468-Reviews-Mikuni-Singapore.html
155. Wakanui Grill Dining Singapore,"Steakhouse, New Zealand",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d6114868-Reviews-Wakanui_Grill_Dining_Singapore-Singapore.html
156. Li Bai Cantonese Restaurant,"Chinese, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d919110-Reviews-Li_Bai_Cantonese_Restaurant-Singapore.html
157. Brasserie Les Saveurs,"French, European",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1756372-Reviews-Brasserie_Les_Saveurs-Singapore.html
158. Bam! Restaurant,Spanish,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d6876653-Reviews-Bam_Restaurant-Singapore.html
159. Jade,"Chinese, Asian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d865172-Reviews-Jade-Singapore.html
160. Coriander Leaf @ Chijmes,"Asian, Singaporean",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1145037-Reviews-Coriander_Leaf_Chijmes-Singapore.html
161. Fratini La Trattoria,"Italian, European",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d4930299-Reviews-Fratini_La_Trattoria-Singapore.html
162. OLA Cocina Del Mar,"Seafood, European",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3625174-Reviews-OLA_Cocina_Del_Mar-Singapore.html
163. FOC Restaurant,"Mediterranean, European",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d7165932-Reviews-FOC_Restaurant-Singapore.html
164. The National Kitchen by Violet Oon at the National Gallery,"Asian, Singaporean",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d9596660-Reviews-The_National_Kitchen_by_Violet_Oon_at_the_National_Gallery-Singapore.html
165. Birds Of A Feather,"Asian, Fusion",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d12102069-Reviews-Birds_Of_A_Feather-Singapore.html
166. Sque Rotisserie & Alehouse,"Bar, European",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d2287331-Reviews-Sque_Rotisserie_Alehouse-Singapore.html
167. 13% Gastro Wine,"French, Bar",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d9751260-Reviews-13_Gastro_Wine-Singapore.html
168. TWG Tea Garden at Marina Bay Sands,International,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3673573-Reviews-TWG_Tea_Garden_at_Marina_Bay_Sands-Singapore.html
169. Alati Divine Greek Cuisine,"Seafood, Greek",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8703628-Reviews-Alati_Divine_Greek_Cuisine-Singapore.html
170. Lolla,"Mediterranean, European",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3871828-Reviews-Lolla-Singapore.html
171. Burnt Ends,Barbecue,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d4306841-Reviews-Burnt_Ends-Singapore.html
172. The Lobby Lounge at InterContinental Singapore,"Asian, Bar",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d2338744-Reviews-The_Lobby_Lounge_at_InterContinental_Singapore-Singapore.html
173. LeVeL33,"Bar, European",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d2011973-Reviews-LeVeL33-Singapore.html
174. Oso Ristorante,"Mediterranean, Northern-Italian",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1220473-Reviews-Oso_Ristorante-Singapore.html
175. Etna Italian Restaurant,"Italian, Pizza",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d2253857-Reviews-Etna_Italian_Restaurant-Singapore.html
176. Carousel Buffet,"Seafood, Sushi",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d794086-Reviews-Carousel_Buffet-Singapore.html
