Reviewer's Name,Rating,Comment,Restaurant Type,Restaurant Name
Cera K,4,"Was excited to go back for their signature waffle with ice-cream. Only to discover that waffles had been removed from menu! So sad! Waffles was replace by Chuffles (cinnamon flavoured, fried waffles strips?). Thankful it was yummy but sinful ","['Dessert', 'Cafe']",Sunday Folks
insertnamerighthere,5,"They do soft serve ice cream really well! one of the fewer places that do soft serve. I lovee their flavours - earl grey lavender, roasted pistachio! waffle is a really warm, crispy stack.","['Dessert', 'Cafe']",Sunday Folks
pingguo301,4,"Crispy waffles and yummy soft serve (we tried earl grey lavender and roasted pistachio flavors). The toppings were all good, though the sea salt chocolate honeycomb was abit overwhelming in sweetness. Try to go before 8pm, coz that’s when the crowd comes in.","['Dessert', 'Cafe']",Sunday Folks
pauljer,5,"Singapore’s dessert scene is anything but boring. I remember when going out for a mid-afternoon sweet treat was about choosing between a red velvet or a chocolate cupcake. These days it’s a whole other story. Desserts have been supersized, with enough calories to fuel a More","['Dessert', 'Cafe']",Sunday Folks
AndyCworld,1,So much for open until 11pm. Traveled across town to order a waffle cone and was told at 10:35pm they already had “last call” for waffles. Never heard of a restaurant stopping to serve food before they close. Should advertise 1030pm close if you don’t More,"['Dessert', 'Cafe']",Sunday Folks
Pukimon97,5,"Been here for a few times and I really love there waffles, especially the lavender flavoured one! A good place to chill.","['Dessert', 'Cafe']",Sunday Folks
adrickh2018,4,Waffle is yummy. We ordered tiramisu cake as well. The cake is so so. It is good to see that they now accept credit card. Very crowded on a Saturday afternoon.,"['Dessert', 'Cafe']",Sunday Folks
SarahC11639,3,"Sadly not as great as I remembered. The waffles were pretty measly & small, not that crisp. Plus the toppings were really little  for the price we paid we expected a lot more tbh. The ice cream servings were quite little too. Probably won't be More","['Dessert', 'Cafe']",Sunday Folks
64xinyuc,4,Booked via chope but the downside is the minimum spending of $10 per pax. Realised that other tables did not follow this rule and the staff did not really enforce it. Silly us obeyed dutifully and stuffed ourselves silly,"['Dessert', 'Cafe']",Sunday Folks
scottkjphotography,5,"A pleasant dessert experience here at Sunday Folks.

Avoid waiting by visiting during their off peak period.

Regards,
Scott (@scottkjphotography - Instagram)","['Dessert', 'Cafe']",Sunday Folks
Christy T,5,"Amazing flavours for the waffles. We had the sea salt, earl grey and choco waffles. All were amazing and generously served!","['Dessert', 'Cafe']",Sunday Folks
WinnieN107,5,"Visited Sunday Folks on a weekday around 4pm. You can lesser crowd compared to after lunch or weekends. Not too sure about evenings.  First visit. Have heard about their tasty waffles but since I’m alone, and I saw a soufflé cake, I simply can’t wait More","['Dessert', 'Cafe']",Sunday Folks
371DanielL,4,"Looking for a fantastic ice cream, waffles & gula melaka, but waiting time, either for queues or foods is terrible! You need to have your time.","['Dessert', 'Cafe']",Sunday Folks
grace t,4,"Who doesn’t love rich flavourful creamy ice cream on a nice warm waffle beautifully decorated ? The Milo Dinosaur on a crispy cone was really yummy too.
Lots of young people and we needed to wait in a queue.
Rather noisy but a hip place More","['Dessert', 'Cafe']",Sunday Folks
ivory4elephant,5,"Always come back for their Sea Salt Gula Melaka Ice Cream with Waffles. Can never get enough of it! But the queue can be really long during peak hours. If you wanna avoid the crowd and queue, you can consider coming before tea breaks right More","['Dessert', 'Cafe']",Sunday Folks
Manaty,1,"So disappointed from their service   
Most customers look students so they don’t bother a quality services. The staff are don’t bother any new customer so no assist in how to order.   The dessert look tummy though ☺️
I think this cafe is for students .","['Dessert', 'Cafe']",Sunday Folks
Tour54533,4,"Great place to hangout. Went around 5pm and there was no crowd, unlike peak hours. So wait was short and place was spacious.","['Dessert', 'Cafe']",Sunday Folks
manaty12,1,"Their level of service has no standard.  The staff are no energy to serve customers.  The dessert is just normal. Not super fantastic.  One time is enough.  
 
まずサービスがまったくないです。　普通のカフェ。その割には高い値段のアイスクリームを提供してます。　お味は普通です。期待するほどでもなし。ハーゲンダッツのアイスで十分です。","['Dessert', 'Cafe']",Sunday Folks
tagohHS,5,"Ordered earl grey their signature ice cream with waffle and it’s extremely worth it. Priced at $11.50++ and you won’t regret.

Highly recommend all to try, they do serve cakes too.","['Dessert', 'Cafe']",Sunday Folks
Stella T,2,"We were pretty excited to try the soft serve at Sunday Folks and the crowd and lines only raised our expectations. Unfortunately, the actual products failed to deliver for us.

We had the salted gula melaka cone and the dark chocolate cones. I thought the More","['Dessert', 'Cafe']",Sunday Folks
